model flag error
1 0 0.768411556245859
2 0 0.750280386928472
3 0 0.762051689226192
4 0 0.753643616156392
5 0 0.759529267305252
6 0 0.742713121165652
7 0 0.756166038077332
8 0 0.758688459998272
9 0 0.741784126793605
10 0 0.748318503212185
11 0 0.751681732440105
12 0 0.753923885258719
13 0 0.751121194235452
14 0 0.746076350393572
15 0 0.742152582960999
16 0 0.745235543086592
17 0 0.746636888598225
18 0 0.757567383588965
19 0 0.757006845384312
20 0 0.745796081291246
21 1 0.775784875240198
22 1 0.773542722421585
23 1 0.765048091472943
24 1 0.764854380249458
25 1 0.774663798830892
26 1 0.748598772314512
27 1 0.756446307179659
28 1 0.763453034737825
29 1 0.755325230770352
30 1 0.764013572942479
31 1 0.745796081291246
32 1 0.772701915114605
33 1 0.764293842044805
34 1 0.740470968347039
35 1 0.786435101128611
36 1 0.742432852063325
37 1 0.785874562923958
38 1 0.786350035034747
39 1 0.770740031398318
40 1 0.771020300500645
