model flag error
1 0 1.11360619203373
2 0 1.07839307036071
3 0 1.06370411524858
4 0 1.13767991886868
5 0 1.16686643286438
6 0 1.08198409918209
7 0 1.0640735134093
8 0 1.08365007218447
9 0 1.12367553526257
10 0 1.10674195070317
11 0 1.16044272067678
12 0 1.08977307976551
13 0 1.1670231935992
14 0 1.14167871622266
15 0 1.15893646178188
16 0 1.09060095750068
17 0 1.07213698899348
18 0 1.14390252455006
19 0 1.12837266292207
20 0 1.13955749770377
21 1 1.12240384069408
22 1 1.12587326766642
23 1 1.13299175237427
24 1 1.11227645815106
25 1 1.09887479987881
26 1 1.12596943756567
27 1 1.10197359953484
28 1 1.07895043560933
29 1 1.08541104229195
30 1 1.11256291886697
31 1 1.12096439059865
32 1 1.07744160457032
33 1 1.09619372701802
34 1 1.17412083246412
35 1 1.03186059112041
36 1 1.07508669338898
37 1 1.10163871213298
38 1 1.05212302959444
39 1 1.09455609223126
40 1 1.08100720836912
