model flag error
1 0 0.661073368862084
2 0 0.722458197111939
3 0 0.698918824227914
4 0 0.822023417675593
5 0 0.801285116357842
6 0 0.842713300117646
7 0 0.803241592954616
8 0 0.825570373177355
9 0 0.710671233310869
10 0 0.697249828864274
11 0 0.765064278274517
12 0 0.707176139619127
13 0 0.742139719600006
14 0 0.6897177961225
15 0 0.757712846061638
16 0 0.797996385544716
17 0 0.707457477512931
18 0 0.668199657410335
19 0 0.711736945503064
20 0 0.776376149592792
21 1 0.755575321655623
22 1 0.666610296656978
23 1 0.756567408601248
24 1 0.763720434111133
25 1 0.805449805584576
26 1 0.807185756806783
27 1 0.704891473624334
28 1 0.786625381611019
29 1 0.797036695707218
30 1 0.776433362818688
31 1 0.769596525219738
32 1 0.790113074447108
33 1 0.726557346738928
34 1 0.784126270301891
35 1 0.803282818097794
36 1 0.729906712160545
37 1 0.767720229606718
38 1 0.763546853659736
39 1 0.755779488022881
40 1 0.759383835195882
