model flag error
1 0 1.07056690479049
2 0 1.04220568812585
3 0 1.07134949034548
4 0 1.04957873694942
5 0 1.02675525423611
6 0 1.04892182804466
7 0 1.02875515020531
8 0 1.03076270816239
9 0 1.06419379663985
10 0 1.01706279523028
11 0 1.02517833175805
12 0 1.06323614034682
13 0 1.07128470578926
14 0 1.06325594153473
15 0 1.02486511468135
16 0 1.05914777278407
17 0 1.07751343559912
18 0 1.08575859476063
19 0 1.03857202195504
20 0 1.01926099865947
21 1 0.983205298851478
22 1 1.02014259590436
23 1 1.04734548743641
24 1 1.02156992865193
25 1 0.978654659147711
26 1 1.00206429687088
27 1 0.999667566487726
28 1 1.05094958166885
29 1 0.982941242013264
30 1 1.01375185770357
31 1 1.02407908563294
32 1 0.992314066860754
33 1 1.02317491516435
34 1 1.02489660936623
35 1 0.958794121339453
36 1 1.01461190939952
37 1 0.958274760178061
38 1 0.951408130878004
39 1 0.967273589610764
40 1 0.955334891901858
