model flag error
1 1 0.993274292578937
2 1 0.992949043842151
3 1 0.993336370241857
4 1 0.993108704153437
5 1 0.992948903981602
6 1 0.992618453918577
7 1 0.992937918946222
8 1 0.992905539444505
9 1 0.993465899293354
10 1 0.993189075591012
11 1 0.99293323549682
12 1 0.993217703166517
13 1 0.992862295431774
14 1 0.992956742684636
15 1 0.993192386196951
16 1 0.993274267553837
17 1 0.99267953515809
18 1 0.993182670067664
19 1 0.993024116108996
20 1 0.993442536738482
21 0 0.993476013794061
22 0 0.993302925060917
23 0 0.993647739010148
24 0 0.993375818491509
25 0 0.993383164637486
26 0 0.993075046804709
27 0 0.993250605862614
28 0 0.993494445166235
29 0 0.992741135188952
30 0 0.992974898441641
