model flag error
1 0 0.891328507087286
2 0 0.902759638423817
3 0 0.894496847919676
4 0 0.89059052606007
5 0 0.895651431139675
6 0 0.893592226015346
7 0 0.894372408303649
8 0 0.886862747997371
9 0 0.892156301054765
10 0 0.898579549408953
11 0 0.889995380070379
12 0 0.900598717439431
13 0 0.896807096443293
14 0 0.885621598087962
15 0 0.897311347409103
16 0 0.891595781740838
17 0 0.894420019982824
18 0 0.895544304861531
19 0 0.895747680159605
20 0 0.891142388705056
21 1 0.889466241181364
22 1 0.888684976809442
23 1 0.889573367459508
24 1 0.889364525321307
25 1 0.888466395918683
26 1 0.889027997316228
27 1 0.891394514187961
28 1 0.889210869447605
29 1 0.89224936024588
30 1 0.887600729024588
31 1 0.893202675913003
32 1 0.893310884274765
33 1 0.897368697840837
34 1 0.886042528615216
35 1 0.897805859622355
36 1 0.886627935852348
37 1 0.893054430457389
38 1 0.887730579058702
39 1 0.892710810843742
40 1 0.889585270379302
