model flag error
1 1 0.930220636098724
2 1 0.940171277238333
3 1 0.927933434568615
4 1 0.928761559260551
5 1 0.934624156286001
6 1 0.936569592070231
7 1 0.923727086927037
8 1 0.924423763255173
9 1 0.928840428278831
10 1 0.936661605924891
11 1 0.926066867802665
12 1 0.930049753225785
13 1 0.932166071882954
14 1 0.935531149996217
15 1 0.939316862873637
16 1 0.91141037523904
17 1 0.93085158824496
18 1 0.934177231849084
19 1 0.925751391729547
20 1 0.933493700357327
21 0 0.907598372688859
22 0 0.909872429382587
23 0 0.916431702736174
24 0 0.906152440687066
25 0 0.91715466873707
26 0 0.918666324920763
27 0 0.916011067972016
28 0 0.91338210069603
29 0 0.923477335035818
30 0 0.916523716590834
31 0 0.925909129766106
32 0 0.910043312255526
33 0 0.917010075536891
34 0 0.903037114465022
35 0 0.923503624708578
36 0 0.912159630912696
37 0 0.906402192578285
38 0 0.926658385439762
39 0 0.906362758069145
40 0 0.914775453352302
