model flag error
1 0 0.818979068553117
2 0 0.809077054626026
3 0 0.810727390280541
4 0 0.80482788265108
5 0 0.802063128094337
6 0 0.823930075516662
7 0 0.813615477675942
8 0 0.818153900725859
9 0 0.823930075516662
10 0 0.815265813330458
11 0 0.806188967230624
12 0 0.812377725935056
13 0 0.814853229416829
14 0 0.82104198812126
15 0 0.800000208526193
16 0 0.831769169875609
17 0 0.818153900725859
18 0 0.809489638539655
19 0 0.82104198812126
20 0 0.803300879835223
21 1 0.816916148984973
22 1 0.812377725935056
23 1 0.82104198812126
24 1 0.812790309848685
25 1 0.819391652466745
26 1 0.820216820294003
27 1 0.823930075516662
28 1 0.816503565071344
29 1 0.8144406455032
30 1 0.814853229416829
31 1 0.823930075516662
32 1 0.807426718971511
33 1 0.819804236380374
34 1 0.826405578998434
