model flag error
1 0 0
2 0 0.925937550659347
3 0 0.821152290218068
4 0 0.863802495101374
5 0 0.914493294817125
6 0 0.92620265353919
7 0 0
8 0 0.867517558799998
9 0 0.928375198862415
10 0 0
11 0 0.937916554408938
12 0 0.869949391095325
13 0 0.928939287856473
14 0 0.945204367121523
15 0 0.889535556758769
16 0 0.847312883717688
17 0 0.902421403284049
18 0 0
19 0 0.876294298551946
20 0 0.921794624871867
21 1 0.894094698025568
22 1 0.851154695510466
23 1 0.883063018422907
24 1 0.882083712111228
25 1 0.874192851317387
26 1 0.832561584827826
27 1 0.81557082352051
28 1 0.904259799408021
29 1 0.825932778646099
30 1 0.866370541908331
31 1 0.874979695351985
32 1 0
33 1 0
34 1 0.8613307676575
