model flag error
1 0 0.953969060073193
2 0 0.952694085124617
3 0 0.945477721878648
4 0 0.945403754019463
5 0 0.939512779763824
6 0 0.957089565594138
7 0 0.940290119261134
8 0 0.953047749178085
9 0 0.93922458697073
10 0 0.95291826151569
11 0 0.973972446430402
12 0 0.961355807090855
13 0 0.958386724369234
14 0 0.932894525549175
15 0 0.95670074983396
16 0 0.962839578273107
17 0 0.950064288226581
18 0 0.949850949477463
19 0 0.949683155665775
20 0 1.00236768040614
21 1 0.95493586174935
22 1 0.965010897716029
23 1 0.94233104977935
24 1 0.98504862986211
25 1 0.971877178749892
26 1 1.01071159109453
27 1 0.995340306309074
28 1 0.967728505421729
29 1 1.02089393127807
30 1 0.944583236489371
