model flag error
1 0 1.21901846777913
2 0 1.20309417704119
3 0 1.20146582939607
4 0 1.18625717639559
5 0 1.16732813791068
6 0 1.14359066015947
7 0 1.23821580904569
8 0 1.16700095186751
9 0 1.20977780736424
10 0 1.18500144068965
11 0 1.15462275253974
12 0 1.22593287925209
13 0 1.21431296830877
14 0 1.20603326811919
15 0 1.16050341378502
16 0 1.21719960320753
17 0 1.19499705065431
18 0 1.21580688370465
19 0 1.19141864282777
20 0 1.17936734579915
21 1 1.17819705274661
22 1 1.21051665775177
23 1 1.17215101636255
24 1 1.15180015854564
25 1 1.16105653800674
26 1 1.1511802153955
27 1 1.18469514432121
28 1 1.20564771934799
29 1 1.14464252630947
30 1 1.17863013468803
31 1 1.16889090233634
32 1 1.14997696565587
33 1 1.17877576751923
34 1 1.20936729774383
35 1 1.14716086935206
36 1 1.15847374445176
37 1 1.16633426064709
38 1 1.1351840341935
39 1 1.10183947739046
40 1 1.1428329819572
