model flag error
1 0 1.96552438500377
2 0 1.95259181940394
3 0 1.94657497744115
4 0 1.97430111257074
5 0 1.926620031761
6 0 1.9602529511456
7 0 1.96685349631265
8 0 2.00837293166569
9 0 2.002345791441
10 0 1.94031442399671
11 0 1.94261109186991
12 0 1.93608098803052
13 0 1.99959694365845
14 0 1.98955558184842
15 0 1.97352269559442
16 0 1.94798748791469
17 0 1.9298086814491
18 0 1.98101296053727
19 0 1.94660715749902
20 0 2.00212185156827
21 1 2.00533162445721
22 1 1.99550629935089
23 1 1.97732421906103
24 1 1.96549001295607
25 1 1.94477084885852
26 1 1.99583726625073
27 1 1.96605724676988
28 1 1.97584995252806
29 1 1.94252739734006
30 1 1.93510471956944
31 1 1.98984278236591
32 1 1.96549782883731
33 1 1.9268420185015
34 1 1.95899561417927
35 1 1.89437928477729
36 1 1.93442514995671
37 1 1.91810130931847
38 1 1.9613650339681
39 1 1.93927666608529
40 1 1.98892744805585
