model flag error
1 0 0.972240585388727
2 0 0.974116536870063
3 0 0.973571334341044
4 0 0.972601458260528
5 0 0.973936320888302
6 0 0.972801897406265
7 0 0.973433966282269
8 0 0.971674814653704
9 0 0.972496606848145
10 0 0.974081326606735
11 0 0.973828805640168
12 0 0.97332669762514
13 0 0.973495494035002
14 0 0.971647220854463
15 0 0.972459799476447
16 0 0.972937396389237
17 0 0.974858349678929
18 0 0.972392244743358
19 0 0.97346190005658
20 0 0.972014955157709
21 1 0.97404387485326
22 1 0.974103440067098
23 1 0.97407576517381
24 1 0.974524848448147
25 1 0.975150263090563
26 1 0.974065970530861
27 1 0.975196022002618
28 1 0.974314308133051
29 1 0.974752781570692
30 1 0.975458506738773
31 1 0.974264940586803
32 1 0.974144116100388
33 1 0.975063385066737
34 1 0.974950772063735
35 1 0.976607139828303
36 1 0.975233009663409
37 1 0.975623721685294
38 1 0.974714139365037
39 1 0.975457432546606
40 1 0.974768546447235
