model flag error
1 1 0.99169913538358
2 1 0.991595163132074
3 1 0.991519359416312
4 1 0.991834804144151
5 1 0.99139716194952
6 1 0.9916653692639
7 1 0.991881964351405
8 1 0.991452003978563
9 1 0.991924074534512
10 1 0.991462398406722
11 1 0.991233648523022
12 1 0.991213707988265
13 1 0.991452271038838
14 1 0.991825929549039
15 1 0.99152673729478
16 1 0.991601734085556
17 1 0.991155937184413
18 1 0.991255688000469
19 1 0.991746642833274
20 1 0.99127090644945
21 0 0.991201966707374
22 0 0.991306121203738
23 0 0.991709024306404
24 0 0.991191467402098
25 0 0.991092244399482
26 0 0.990474100350164
27 0 0.990904194881243
28 0 0.991442008538444
29 0 0.990351819595473
30 0 0.991957496994039
