model flag error
1 1 0.968314515529949
2 1 0.969880473251855
3 1 0.970131995126217
4 1 0.968620380355748
5 1 0.969488635983309
6 1 0.968410390993191
7 1 0.967706620709585
8 1 0.967049947885669
9 1 0.970069107232978
10 1 0.968402270366501
11 1 0.9686046758925
12 1 0.96890328006903
13 1 0.969896734269909
14 1 0.969621676530901
15 1 0.969410177273272
16 1 0.968265705680691
17 1 0.969590302191116
18 1 0.968751341950579
19 1 0.967929839303701
20 1 0.968092721934552
21 0 0.967879863866351
22 0 0.968186582305563
23 0 0.967556741324306
24 0 0.967670635887269
25 0 0.967459462031095
26 0 0.967976879732164
27 0 0.96829284158264
28 0 0.967856286286137
29 0 0.967628456481449
30 0 0.96707217229697
31 0 0.967625027035176
32 0 0.968214137829053
33 0 0.967994453495149
34 0 0.968166424384742
35 0 0.967744008908765
36 0 0.968212706392173
37 0 0.967969220617248
38 0 0.968306604754769
39 0 0.968212985680655
40 0 0.968029792227388
