model flag error
1 1 0.918270905513791
2 1 0.926039605932627
3 1 0.924685669988227
4 1 0.916325444156789
5 1 0.92624992607933
6 1 0.914267686805072
7 1 0.908156424581006
8 1 0.912802581699516
9 1 0.921361016378649
10 1 0.918297195532128
11 1 0.915168683349923
12 1 0.91582593380837
13 1 0.926511377549965
14 1 0.918750164393072
15 1 0.922503598466185
16 1 0.921156753204075
17 1 0.922504617143703
18 1 0.924223602983554
19 1 0.913921038987607
20 1 0.917678839104444
21 0 0.934558432104102
22 0 0.933171212619126
23 0 0.933710154452843
24 0 0.932577033010387
25 0 0.931474616900941
26 0 0.931060999435157
27 0 0.935445284258955
28 0 0.93677990945231
29 0 0.934418687372324
30 0 0.930390603967542
31 0 0.93405589514215
32 0 0.934163221599024
33 0 0.930049293460401
34 0 0.931488212233147
35 0 0.928235294117647
36 0 0.931882114863486
37 0 0.932598965507922
38 0 0.933000328623069
39 0 0.928202431810713
40 0 0.932966585247679
