model flag error
1 0 0.942212640981854
2 0 0.948246398476841
3 0 0.951427595238904
4 0 0.944066148186197
5 0 0.949035124946774
6 0 0.937249824360775
7 0 0.935660061631157
8 0 0.943684930392396
9 0 0.949088376377192
10 0 0.947582553697981
11 0 0.943803239362886
12 0 0.940214533924691
13 0 0.950552448078585
14 0 0.937670481242869
15 0 0.942738458628476
16 0 0.941864669081351
17 0 0.943514782587941
18 0 0.948113579597739
19 0 0.940281046568705
20 0 0.945833853861008
21 1 0.960971698984463
22 1 0.964540406055047
23 1 0.961503829103787
24 1 0.960345473567962
25 1 0.95782257500069
26 1 0.955805027147031
27 1 0.964264353604933
28 1 0.957488202866181
29 1 0.958571597669289
30 1 0.957303607439904
31 1 0.959162344981578
32 1 0.961128930819078
33 1 0.957428769125906
34 1 0.957645388910208
35 1 0.953485162695698
36 1 0.95985355900955
37 1 0.961102639936747
38 1 0.958217490411947
39 1 0.95865128711927
40 1 0.955982201141528
