model flag error
1 0 1.46124456158488
2 0 1.53306885752487
3 0 1.50509079272858
4 0 1.52464534465918
5 0 1.53535661906856
6 0 1.48925180754804
7 0 1.50696256078293
8 0 1.50554619616483
9 0 1.49396489070124
10 0 1.45137994925214
11 0 1.64698625555239
12 0 1.5008536005563
13 0 1.53855864354716
14 0 1.56282586743199
15 0 1.54434862607507
16 0 1.48416449692122
17 0 1.52692081748498
18 0 1.56158061053995
19 0 1.44360205224655
20 0 1.62678593216446
21 1 1.51345912507545
22 1 1.4447799367298
23 1 1.50718468625371
24 1 1.4578091133348
25 1 1.50584222036107
26 1 1.43044933136051
27 1 1.41940489088301
28 1 1.50115482743894
29 1 1.47808658033358
30 1 1.46238028273879
31 1 1.53531663638904
32 1 1.45836449357754
33 1 1.43606375095823
34 1 1.51179671311529
