model flag error
1 1 0.771755866981248
2 1 0.777226887748505
3 1 0.774491377364876
4 1 0.769020356597619
5 1 0.770388111789433
6 1 0.755130003121136
7 1 0.75008547008547
8 1 0.757394437467197
9 1 0.783114009044844
10 1 0.774491377364876
11 1 0.764233213426269
12 1 0.764917091022176
13 1 0.782073395524117
14 1 0.767441905345937
15 1 0.773807499768969
16 1 0.758974358974359
17 1 0.769441132413769
18 1 0.76975727905917
19 1 0.755768255782693
20 1 0.765389921641804
21 0 0.794052310349704
22 0 0.784273504273504
23 0 0.793162393162393
24 0 0.794867698868856
25 0 0.788645736955317
26 0 0.789536684474834
27 0 0.791794871794872
28 0 0.794735954181258
29 0 0.789806842458609
30 0 0.786117296495298
31 0 0.783918165350215
32 0 0.792272194858463
33 0 0.782905982905983
34 0 0.788852806878927
35 0 0.779487179487179
36 0 0.788645736955317
37 0 0.792272194858463
38 0 0.788376068376068
39 0 0.784273504273504
40 0 0.792749704363584
