model flag error
1 0 0.801710969585686
2 0 0.812660500540334
3 0 0.822241340125652
4 0 0.809238772117006
5 0 0.812660500540334
6 0 0.785078759185245
7 0 0.790968368526578
8 0 0.799657932531689
9 0 0.815119162408341
10 0 0.803764006639682
11 0 0.800342278216354
12 0 0.80102662390102
13 0 0.820267031838411
14 0 0.791923386553904
15 0 0.790761438631037
16 0 0.797810655451549
17 0 0.802121038962468
18 0 0.812735364601164
19 0 0.79254347431814
20 0 0.803559253080625
21 1 0.851377085704726
22 1 0.853233179543809
23 1 0.849127807388827
24 1 0.852251339317622
25 1 0.832306688028995
26 1 0.827031759918311
27 1 0.851180493466318
28 1 0.832906068176379
29 1 0.836898865585403
30 1 0.831137834026304
31 1 0.841979125505036
32 1 0.846877784773611
33 1 0.833390547461395
34 1 0.841403019296287
35 1 0.826548260536425
36 1 0.848733793713778
37 1 0.850299513196939
38 1 0.832706318768898
39 1 0.840232834386365
40 1 0.832991150765861
