rna recall0 recall1 f1_0 f1_1 acc
1XHP 0.96 0.78 0.93 0.83 0.90
1YSV 1.00 0.75 0.94 0.86 0.92
1Z2J 0.97 0.84 0.95 0.89 0.93
1ZC5 1.00 0.75 0.94 0.86 0.92
28SR 0.99 0.66 0.92 0.78 0.88
2FDT 0.97 0.84 0.95 0.89 0.93
2JWV 1.00 0.59 0.91 0.75 0.87
2K66 0.79 1.00 0.88 0.82 0.86
2KOC 0.86 0.94 0.91 0.86 0.89
2L1V 0.87 1.00 0.93 0.88 0.91
2L3E 1.00 0.69 0.93 0.81 0.90
2LBJ 0.99 0.85 0.96 0.90 0.94
2LBL 0.99 0.62 0.91 0.75 0.87
2LDL 0.99 0.75 0.94 0.84 0.91
2LDT 0.93 0.81 0.92 0.83 0.89
2LHP 0.96 0.70 0.91 0.78 0.87
2LI4 0.94 0.88 0.94 0.88 0.92
2LK3 0.99 0.78 0.94 0.86 0.92
2LP9 0.77 0.94 0.86 0.79 0.83
2LPA 0.82 0.91 0.88 0.81 0.85
2LPS 0.97 0.72 0.92 0.81 0.89
2LQZ 0.91 0.91 0.93 0.87 0.91
2LU0 0.99 0.66 0.92 0.78 0.88
2LUB 1.00 0.75 0.94 0.86 0.92
2LUN 1.00 0.81 0.96 0.90 0.94
2LV0 0.97 0.81 0.94 0.87 0.92
2M12 1.00 0.72 0.94 0.84 0.91
2M21 0.99 0.78 0.94 0.86 0.92
2M22 0.99 0.69 0.92 0.80 0.89
2M24 0.99 0.69 0.92 0.80 0.89
2M4W 1.00 0.72 0.94 0.84 0.91
2M5U 0.97 0.62 0.90 0.74 0.86
2M8K 0.99 0.75 0.94 0.84 0.91
2MEQ 0.99 0.81 0.95 0.88 0.93
2MHI 0.99 0.81 0.95 0.88 0.93
2MNC 0.79 0.94 0.87 0.79 0.84
2MXL 0.97 0.88 0.96 0.90 0.94
2N2O 0.99 0.72 0.93 0.82 0.90
2N2P 0.93 0.94 0.95 0.90 0.93
2N4L 0.90 0.78 0.90 0.78 0.86
2N6S 0.96 0.81 0.94 0.85 0.91
2N6T 1.00 0.69 0.93 0.81 0.90
2N6W 0.99 0.69 0.92 0.80 0.89
2N6X 0.91 0.81 0.91 0.81 0.88
2NCI 1.00 0.48 0.89 0.65 0.83
2QH2 0.97 0.62 0.90 0.74 0.86
2QH4 0.96 0.75 0.92 0.81 0.89
2RVO 0.96 0.84 0.94 0.87 0.92
2Y95 0.88 0.88 0.91 0.82 0.88
4A4S 0.99 0.75 0.94 0.84 0.91
4A4T 0.96 0.69 0.91 0.77 0.87
4A4U 0.97 0.72 0.92 0.81 0.89
5A17 1.00 0.62 0.92 0.77 0.88
5A18 1.00 0.69 0.93 0.81 0.90
5IEM 0.97 0.81 0.94 0.87 0.92
5KH8 1.00 0.66 0.93 0.79 0.89
5KMZ 0.81 0.94 0.88 0.80 0.85
5KQE 0.99 0.59 0.91 0.73 0.86
5LSN 0.93 0.82 0.92 0.83 0.89
5LWJ 0.94 0.88 0.94 0.88 0.92
5N5C 0.97 0.88 0.96 0.91 0.94
5UF3 1.00 0.53 0.90 0.69 0.85
5UZT 0.99 0.72 0.93 0.82 0.90
5V16 0.94 0.88 0.94 0.88 0.92
5V17 0.87 0.94 0.91 0.85 0.89
5WQ1 0.94 0.78 0.92 0.82 0.89
6EZ0 0.99 0.84 0.96 0.90 0.94
