target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
1YSV.pdb.outCR,1YSV_20.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_100.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_24.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_31.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_35.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_17.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_28.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_13.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_21.pdb.outCR,0.947,0.923,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_10.pdb.outCR,0.975,0.964,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_36.pdb.outCR,0.877,0.906,0.775,1.000,0.600,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_32.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_18.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_29.pdb.outCR,0.987,0.981,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_14.pdb.outCR,0.975,0.964,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_25.pdb.outCR,0.974,0.962,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_33.pdb.outCR,0.961,0.964,0.949,1.000,0.900,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_22.pdb.outCR,0.905,0.902,0.894,1.000,0.800,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_19.pdb.outCR,0.974,0.962,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_37.pdb.outCR,0.933,0.944,0.894,1.000,0.800,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_11.pdb.outCR,0.932,0.962,0.894,0.707,0.800,1.000,0.500,1.000
1YSV.pdb.outCR,1YSV_26.pdb.outCR,0.974,0.962,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_15.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_2.pdb.outCR,0.932,0.981,0.775,1.000,0.600,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_34.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_12.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_23.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_16.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_1.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_27.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_38.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_30.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_39.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_46.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_42.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_4.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_57.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_53.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_64.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_60.pdb.outCR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1YSV.pdb.outCR,1YSV_61.pdb.outCR,0.960,0.962,0.949,1.000,0.900,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_58.pdb.outCR,0.918,0.941,0.837,1.000,0.700,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_43.pdb.outCR,0.987,0.981,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_3.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_47.pdb.outCR,0.946,0.941,0.949,1.000,0.900,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_50.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_65.pdb.outCR,0.960,0.941,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_54.pdb.outCR,0.973,0.961,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_55.pdb.outCR,0.946,0.962,0.894,1.000,0.800,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_51.pdb.outCR,0.974,0.981,0.949,1.000,0.900,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_48.pdb.outCR,0.960,0.941,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_40.pdb.outCR,0.918,0.941,0.837,1.000,0.700,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_44.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_62.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_59.pdb.outCR,0.960,0.941,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_66.pdb.outCR,0.961,0.944,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_52.pdb.outCR,0.904,0.941,0.837,0.707,0.700,1.000,0.500,1.000
1YSV.pdb.outCR,1YSV_56.pdb.outCR,0.961,0.944,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_63.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1YSV.pdb.outCR,1YSV_41.pdb.outCR,0.974,0.962,1.000,1.000,1.000,1.000,1.000,1.000
