target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2JWV.pdb.outCR,2JWV_31.pdb.outCR,0.962,0.964,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_13.pdb.outCR,0.987,1.000,0.935,1.000,0.875,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_35.pdb.outCR,0.961,0.964,0.935,1.000,0.875,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_17.pdb.outCR,0.962,0.964,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_28.pdb.outCR,0.974,0.964,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_20.pdb.outCR,0.987,1.000,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_24.pdb.outCR,0.974,0.982,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_100.pdb.outCR,0.987,0.982,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_36.pdb.outCR,0.961,0.964,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_21.pdb.outCR,0.974,0.964,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_10.pdb.outCR,0.961,0.946,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_32.pdb.outCR,0.975,0.983,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_25.pdb.outCR,0.962,0.964,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_14.pdb.outCR,0.987,0.982,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_29.pdb.outCR,0.974,0.982,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_18.pdb.outCR,0.987,1.000,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_22.pdb.outCR,0.934,0.945,0.866,1.000,0.750,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_33.pdb.outCR,0.974,0.964,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_26.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_37.pdb.outCR,0.878,0.866,0.935,0.866,0.875,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_15.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_11.pdb.outCR,0.935,0.927,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_19.pdb.outCR,0.987,0.982,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_2.pdb.outCR,0.907,0.929,0.791,1.000,0.625,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_34.pdb.outCR,0.974,0.964,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_16.pdb.outCR,0.975,0.983,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_30.pdb.outCR,0.974,0.982,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_38.pdb.outCR,0.974,0.982,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_23.pdb.outCR,0.961,0.964,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_27.pdb.outCR,0.962,0.964,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_1.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_12.pdb.outCR,0.974,1.000,0.935,0.866,0.875,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_4.pdb.outCR,0.948,0.964,0.935,0.816,0.875,1.000,0.667,1.000
2JWV.pdb.outCR,2JWV_39.pdb.outCR,0.975,0.983,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_57.pdb.outCR,0.935,0.927,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_53.pdb.outCR,0.975,0.983,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_46.pdb.outCR,0.909,0.909,0.935,0.866,0.875,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_42.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_60.pdb.outCR,0.974,0.982,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_64.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_3.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_50.pdb.outCR,0.975,0.983,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_58.pdb.outCR,0.934,0.926,0.935,1.000,0.875,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_54.pdb.outCR,0.964,0.950,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_65.pdb.outCR,0.961,0.946,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_61.pdb.outCR,0.975,0.983,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_43.pdb.outCR,0.949,0.929,1.000,1.000,1.000,1.000,1.000,1.000
2JWV.pdb.outCR,2JWV_47.pdb.outCR,0.974,0.982,1.000,0.866,1.000,1.000,1.000,0.750
2JWV.pdb.outCR,2JWV_59.pdb.outCR,0.937,0.929,1.000,0.866,1.000,1.000,1.000,0.750
