id inf_all
1 1
2 0.907
3 1
4 0.948
5 0.987
6 0.987
7 0.974
8 1
9 0.934
10 0.961
11 0.935
12 0.974
13 0.987
14 0.987
15 1
16 0.975
17 0.962
18 0.987
19 0.987
20 0.987
21 0.974
22 0.934
23 0.961
24 0.974
25 0.962
26 1
27 0.962
28 0.974
29 0.974
30 0.974
31 0.962
32 0.975
33 0.974
34 0.974
35 0.961
36 0.961
37 0.878
38 0.974
39 0.975
40 0.961
41 0.987
42 1
43 0.949
44 1
45 0.987
46 0.909
47 0.974
48 0.961
49 1
50 0.975
51 0.974
52 0.921
53 0.975
54 0.964
55 0.948
56 0.987
57 0.935
58 0.934
59 0.937
60 0.974
61 0.975
62 1
63 0.987
64 1
65 0.961
66 1
67 0.987
68 1
69 1
70 0.964
71 0.935
72 0.962
73 0.962
74 0.974
75 1
76 0.961
77 0.987
78 0.962
79 0.974
80 0.949
81 1
82 1
83 0.987
84 0.975
85 0.987
86 1
87 0.962
88 1
89 1
90 0.987
91 1
92 0.974
93 0.974
94 0.961
95 0.987
96 0.987
97 0.987
98 1
99 1
100 0.987
