id inf_all
1 0.927
2 0.658
3 0.874
4 0.693
5 0.976
6 0.976
7 0.873
8 0.951
9 0.816
10 0.901
11 0.873
12 0.789
13 0.818
14 0.818
15 0.977
16 0.951
17 0.951
18 0.952
19 0.873
20 0.977
21 0.787
22 0.724
23 0.816
24 0.873
25 0.951
26 1
27 0.845
28 0.9
29 0.952
30 0.9
31 0.926
32 0.952
33 0.926
34 0.927
35 0.789
36 0.873
37 0.823
38 0.789
39 0.977
40 0.655
41 0.977
42 0.977
43 0.976
44 0.977
45 0.976
46 0.873
47 0.816
48 0.816
49 0.977
50 0.976
51 0.724
52 0.69
53 0.926
54 0.873
55 0.845
56 0.9
57 0.873
58 0.617
59 0.69
60 0.976
61 0.926
62 1
63 0.901
64 0.952
65 0.926
66 0.873
67 0.927
68 0.927
69 0.952
70 0.952
71 0.873
72 1
73 0.787
74 0.926
75 0.977
76 0.756
77 0.845
78 0.901
79 0.926
80 0.873
81 1
82 0.977
83 0.977
84 0.951
85 0.952
86 0.977
87 0.874
88 0.977
89 0.901
90 1
91 1
92 0.847
93 0.845
94 0.655
95 0.874
96 0.927
97 0.847
98 0.927
99 0.977
100 0.874
