target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2LK3.pdb.outCR,2LK3_13.pdb.outCR,0.899,0.901,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_22.pdb.outCR,0.775,0.810,0.745,0.000,0.556,1.000,0.000,0.000
2LK3.pdb.outCR,2LK3_24.pdb.outCR,0.967,1.000,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_28.pdb.outCR,0.938,0.935,0.943,1.000,0.889,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_19.pdb.outCR,0.849,0.830,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_33.pdb.outCR,0.903,0.884,0.943,1.000,0.889,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_35.pdb.outCR,0.898,0.873,0.943,1.000,0.889,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_20.pdb.outCR,0.969,0.956,1.000,1.000,1.000,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_11.pdb.outCR,0.810,0.830,0.745,1.000,0.556,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_26.pdb.outCR,0.903,0.910,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_37.pdb.outCR,0.775,0.781,0.745,1.000,0.556,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_2.pdb.outCR,0.826,0.851,0.745,1.000,0.556,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_100.pdb.outCR,0.815,0.830,0.816,0.707,0.667,1.000,1.000,0.500
2LK3.pdb.outCR,2LK3_15.pdb.outCR,0.984,0.977,1.000,1.000,1.000,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_17.pdb.outCR,0.916,0.926,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_31.pdb.outCR,0.885,0.905,0.882,0.707,0.778,1.000,1.000,0.500
2LK3.pdb.outCR,2LK3_23.pdb.outCR,0.901,0.905,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_14.pdb.outCR,0.968,0.977,0.943,1.000,0.889,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_12.pdb.outCR,0.899,0.927,0.816,1.000,0.667,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_25.pdb.outCR,0.984,1.000,0.943,1.000,0.889,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_29.pdb.outCR,0.969,0.956,1.000,1.000,1.000,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_34.pdb.outCR,0.968,0.952,1.000,1.000,1.000,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_18.pdb.outCR,0.984,0.977,1.000,1.000,1.000,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_27.pdb.outCR,0.898,0.900,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_36.pdb.outCR,0.885,0.884,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_32.pdb.outCR,0.950,0.976,0.882,1.000,0.778,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_16.pdb.outCR,0.967,0.976,0.943,1.000,0.889,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_1.pdb.outCR,0.984,0.977,1.000,1.000,1.000,1.000,1.000,1.000
2LK3.pdb.outCR,2LK3_38.pdb.outCR,0.810,0.823,0.816,0.707,0.667,1.000,1.000,0.500
