target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2LUN.pdb.outCR,2LUN_31.pdb.outCR,0.964,0.939,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_35.pdb.outCR,0.906,0.840,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_100.pdb.outCR,0.926,0.939,0.882,1.000,0.778,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_28.pdb.outCR,0.983,0.972,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_20.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_24.pdb.outCR,0.983,0.972,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_13.pdb.outCR,0.927,0.877,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_17.pdb.outCR,0.907,0.843,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_36.pdb.outCR,0.929,0.910,1.000,0.816,1.000,1.000,1.000,0.667
2LUN.pdb.outCR,2LUN_21.pdb.outCR,0.982,0.970,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_29.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_10.pdb.outCR,0.982,0.970,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_18.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_14.pdb.outCR,0.935,0.900,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_32.pdb.outCR,0.950,0.922,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_25.pdb.outCR,0.948,0.915,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_22.pdb.outCR,0.964,0.970,0.943,1.000,0.889,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_2.pdb.outCR,0.869,0.814,0.943,1.000,0.889,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_19.pdb.outCR,0.945,0.907,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_11.pdb.outCR,0.950,0.922,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_15.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_37.pdb.outCR,0.935,0.922,1.000,0.816,1.000,1.000,1.000,0.667
2LUN.pdb.outCR,2LUN_33.pdb.outCR,0.982,0.970,1.000,1.000,1.000,1.000,1.000,1.000
2LUN.pdb.outCR,2LUN_26.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
