target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2M22.pdb.outCR,2M22_19.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_100.pdb.outCR,0.917,0.910,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_20.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_22.pdb.outCR,0.850,0.877,0.791,0.000,0.625,1.000,0.000,0.000
2M22.pdb.outCR,2M22_24.pdb.outCR,0.917,0.907,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_28.pdb.outCR,0.959,0.970,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_26.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_13.pdb.outCR,0.981,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_31.pdb.outCR,0.941,0.946,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_35.pdb.outCR,0.960,0.972,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_11.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_33.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_17.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_37.pdb.outCR,0.825,0.874,0.707,0.000,0.500,1.000,0.000,0.000
2M22.pdb.outCR,2M22_15.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_2.pdb.outCR,0.945,0.922,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_21.pdb.outCR,0.898,0.882,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_1.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_10.pdb.outCR,0.924,0.890,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_23.pdb.outCR,0.894,0.907,0.866,0.000,0.750,1.000,0.000,0.000
2M22.pdb.outCR,2M22_29.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_25.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_18.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_27.pdb.outCR,0.895,0.939,0.866,0.000,0.750,1.000,0.000,0.000
2M22.pdb.outCR,2M22_34.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_32.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_12.pdb.outCR,0.962,0.946,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_14.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_30.pdb.outCR,0.962,0.946,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_38.pdb.outCR,0.876,0.882,0.866,0.000,0.750,1.000,0.000,0.000
2M22.pdb.outCR,2M22_36.pdb.outCR,0.895,0.910,0.866,0.000,0.750,1.000,0.000,0.000
2M22.pdb.outCR,2M22_16.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_39.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_42.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_40.pdb.outCR,0.920,0.882,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_46.pdb.outCR,0.980,0.970,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_44.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_51.pdb.outCR,0.939,0.972,0.866,0.000,0.750,1.000,0.000,0.000
2M22.pdb.outCR,2M22_59.pdb.outCR,0.876,0.946,0.707,0.000,0.500,1.000,0.000,0.000
2M22.pdb.outCR,2M22_4.pdb.outCR,0.980,1.000,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_48.pdb.outCR,0.941,0.946,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_53.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_57.pdb.outCR,0.898,0.882,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_55.pdb.outCR,0.849,0.874,0.791,0.000,0.625,1.000,0.000,0.000
2M22.pdb.outCR,2M22_64.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_62.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_60.pdb.outCR,0.941,0.946,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_66.pdb.outCR,0.981,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_3.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_43.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_41.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_52.pdb.outCR,0.917,0.910,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_47.pdb.outCR,0.980,0.970,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_49.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_45.pdb.outCR,0.941,0.946,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_58.pdb.outCR,0.917,0.910,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_5.pdb.outCR,0.962,0.946,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_67.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_63.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_50.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_65.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_56.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_54.pdb.outCR,0.941,0.946,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_61.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_68.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_6.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_73.pdb.outCR,0.980,0.970,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_82.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_77.pdb.outCR,0.980,0.970,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_79.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_80.pdb.outCR,0.894,0.874,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_75.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_88.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_86.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_71.pdb.outCR,0.960,0.941,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_84.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_8.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_93.pdb.outCR,0.938,0.939,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_91.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_95.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_69.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_70.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_78.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_83.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_74.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_7.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_76.pdb.outCR,0.898,0.946,0.791,0.000,0.625,1.000,0.000,0.000
2M22.pdb.outCR,2M22_81.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_89.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_87.pdb.outCR,0.962,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_94.pdb.outCR,0.894,0.939,0.791,0.000,0.625,1.000,0.000,0.000
2M22.pdb.outCR,2M22_92.pdb.outCR,0.898,0.915,0.866,0.000,0.750,1.000,0.000,0.000
2M22.pdb.outCR,2M22_90.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_85.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_96.pdb.outCR,0.960,0.972,0.935,0.000,0.875,1.000,0.000,0.000
2M22.pdb.outCR,2M22_72.pdb.outCR,0.962,0.946,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_97.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_99.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_98.pdb.outCR,0.981,0.972,1.000,0.000,1.000,1.000,0.000,0.000
2M22.pdb.outCR,2M22_9.pdb.outCR,0.960,1.000,0.935,0.000,0.875,1.000,0.000,0.000
