target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2M4W.pdb.outCR,2M4W_11.pdb.outCR,0.789,0.829,0.750,0.000,0.750,0.750,0.000,0.000
2M4W.pdb.outCR,2M4W_22.pdb.outCR,0.756,0.829,0.500,0.000,0.250,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_37.pdb.outCR,0.787,0.901,0.000,0.000,0.000,0.000,0.000,0.000
2M4W.pdb.outCR,2M4W_100.pdb.outCR,0.874,0.935,0.750,0.000,0.750,0.750,0.000,0.000
2M4W.pdb.outCR,2M4W_2.pdb.outCR,0.592,0.619,0.577,0.000,0.500,0.667,0.000,0.000
2M4W.pdb.outCR,2M4W_31.pdb.outCR,0.873,0.901,0.866,0.000,0.750,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_35.pdb.outCR,0.818,0.935,0.500,0.000,0.250,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_33.pdb.outCR,0.794,0.866,0.866,0.000,0.750,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_20.pdb.outCR,0.952,1.000,0.750,1.000,0.750,0.750,1.000,1.000
2M4W.pdb.outCR,2M4W_17.pdb.outCR,0.794,0.802,0.866,0.000,0.750,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_19.pdb.outCR,0.878,0.910,0.866,0.000,0.750,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_13.pdb.outCR,0.900,0.935,0.707,1.000,0.500,1.000,1.000,1.000
2M4W.pdb.outCR,2M4W_24.pdb.outCR,0.873,0.935,0.707,0.000,0.500,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_28.pdb.outCR,0.878,0.935,0.816,0.000,1.000,0.667,0.000,0.000
2M4W.pdb.outCR,2M4W_26.pdb.outCR,0.905,0.910,1.000,0.000,1.000,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_15.pdb.outCR,0.977,1.000,1.000,0.707,1.000,1.000,1.000,0.500
2M4W.pdb.outCR,2M4W_12.pdb.outCR,0.789,0.832,0.707,0.000,0.500,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_1.pdb.outCR,0.930,0.943,1.000,0.000,1.000,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_38.pdb.outCR,0.758,0.866,0.500,0.000,0.250,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_21.pdb.outCR,0.700,0.763,0.500,0.000,0.250,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_30.pdb.outCR,0.794,0.839,0.707,0.000,0.500,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_32.pdb.outCR,0.847,0.904,0.707,0.000,0.500,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_10.pdb.outCR,0.758,0.866,0.500,0.000,0.250,1.000,0.000,0.000
2M4W.pdb.outCR,2M4W_23.pdb.outCR,0.732,0.866,0.354,0.000,0.250,0.500,0.000,0.000
2M4W.pdb.outCR,2M4W_18.pdb.outCR,0.927,1.000,0.866,0.000,0.750,1.000,0.000,0.000
