id inf_all
1 1
2 0.974
3 0.991
4 0.983
5 1
6 1
7 0.991
8 0.991
9 0.991
10 0.991
11 0.983
12 1
13 0.991
14 0.974
15 1
16 0.991
17 0.983
18 1
19 0.983
20 1
21 0.974
22 0.974
23 1
24 0.983
25 0.991
26 1
27 0.966
28 1
29 1
30 1
31 1
32 1
33 0.991
34 0.991
35 0.983
36 1
37 0.991
38 0.983
39 1
40 0.991
41 1
42 1
43 1
44 1
45 1
46 0.991
47 0.991
48 1
49 1
50 1
51 0.983
52 1
53 1
54 1
55 1
56 0.991
57 1
58 0.991
59 0.974
60 1
61 1
62 1
63 1
64 1
65 1
66 0.991
67 1
68 1
69 1
70 1
71 0.991
72 1
73 0.974
74 1
75 1
76 1
77 0.991
78 1
79 1
80 0.991
81 1
82 1
83 1
84 1
85 1
86 1
87 0.991
88 1
89 0.983
90 1
91 1
92 1
93 0.991
94 0.983
95 0.983
96 1
97 0.991
98 1
99 1
100 0.991
