target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2N2O.pdb.outCR,2N2O_15.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_11.pdb.outCR,0.947,0.961,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_33.pdb.outCR,0.923,0.923,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_20.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_26.pdb.outCR,0.919,0.881,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_19.pdb.outCR,0.728,0.686,0.816,0.000,0.667,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_13.pdb.outCR,0.890,0.836,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_28.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_37.pdb.outCR,0.918,0.920,0.913,0.000,0.833,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_100.pdb.outCR,0.973,0.961,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_31.pdb.outCR,0.919,0.881,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_24.pdb.outCR,0.975,0.964,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_35.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_2.pdb.outCR,0.947,0.961,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_22.pdb.outCR,0.947,0.923,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_17.pdb.outCR,0.947,0.961,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_12.pdb.outCR,0.919,0.881,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_34.pdb.outCR,0.947,0.923,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_21.pdb.outCR,0.860,0.836,0.913,0.000,0.833,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_16.pdb.outCR,0.951,0.964,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_32.pdb.outCR,0.923,0.923,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_38.pdb.outCR,0.890,0.923,0.816,0.000,0.667,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_1.pdb.outCR,0.973,0.961,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_10.pdb.outCR,0.835,0.789,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_27.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_25.pdb.outCR,0.975,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_36.pdb.outCR,0.795,0.784,0.816,0.000,0.667,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_29.pdb.outCR,0.973,0.961,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_14.pdb.outCR,0.951,0.964,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_30.pdb.outCR,0.890,0.836,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_23.pdb.outCR,0.923,0.889,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_18.pdb.outCR,0.975,0.964,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_44.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_40.pdb.outCR,0.890,0.836,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_48.pdb.outCR,0.918,0.877,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_51.pdb.outCR,0.947,0.923,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_4.pdb.outCR,0.889,0.877,0.913,0.000,0.833,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_39.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_46.pdb.outCR,0.895,0.923,0.913,0.000,0.833,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_60.pdb.outCR,0.973,0.961,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_42.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_59.pdb.outCR,0.919,0.881,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_62.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_57.pdb.outCR,0.890,0.877,1.000,0.000,1.000,1.000,0.000,0.000
2N2O.pdb.outCR,2N2O_53.pdb.outCR,0.975,1.000,1.000,0.000,1.000,1.000,0.000,0.000
