id inf_all
1 0.973
2 0.947
3 0.951
4 0.889
5 0.973
6 0.951
7 0.923
8 0.975
9 0.947
10 0.835
11 0.947
12 0.919
13 0.89
14 0.951
15 1
16 0.951
17 0.947
18 0.975
19 0.728
20 1
21 0.86
22 0.947
23 0.923
24 0.975
25 0.975
26 0.919
27 1
28 1
29 0.973
30 0.89
31 0.919
32 0.923
33 0.923
34 0.947
35 1
36 0.795
37 0.918
38 0.89
39 1
40 0.89
41 0.975
42 1
43 0.973
44 1
45 1
46 0.895
47 0.975
48 0.918
49 1
50 0.975
51 0.947
52 0.919
53 0.975
54 0.923
55 0.829
56 0.975
57 0.89
58 0.947
59 0.919
60 0.973
61 1
62 1
63 0.975
64 1
65 0.947
66 0.919
67 1
68 0.973
69 0.975
70 0.975
71 0.947
72 0.975
73 0.89
74 0.835
75 0.973
76 0.829
77 0.947
78 0.947
79 0.973
80 0.951
81 1
82 0.975
83 1
84 0.975
85 0.947
86 1
87 0.918
88 0.973
89 0.923
90 1
91 0.975
92 0.947
93 0.919
94 0.858
95 0.947
96 0.947
97 0.973
98 0.975
99 1
100 0.973
