target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2N6X.pdb.outCR,2N6X_24.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_100.pdb.outCR,0.978,0.967,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_28.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_2.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_31.pdb.outCR,0.967,0.949,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_37.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_17.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_11.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_35.pdb.outCR,0.956,0.932,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_19.pdb.outCR,0.978,0.966,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_20.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_13.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_15.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_33.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_22.pdb.outCR,0.968,0.951,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_26.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_25.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_10.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_34.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_30.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_29.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_38.pdb.outCR,0.978,0.966,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_32.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_16.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_36.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_12.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_23.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_14.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_18.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_1.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_21.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_27.pdb.outCR,0.978,0.967,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_46.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_40.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_42.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_44.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_57.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_39.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_4.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_51.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_48.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_62.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_60.pdb.outCR,0.956,0.932,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_53.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_55.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_59.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_64.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_66.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_47.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_45.pdb.outCR,0.978,0.967,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_41.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_43.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_50.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_58.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_49.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_3.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_52.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_61.pdb.outCR,0.978,0.967,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_5.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_56.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_54.pdb.outCR,0.978,0.966,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_63.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_65.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_67.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_68.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_71.pdb.outCR,0.979,0.968,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_6.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_73.pdb.outCR,0.979,0.968,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_77.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_75.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_82.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_80.pdb.outCR,0.978,0.967,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_79.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_91.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_86.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_84.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_8.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_93.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_88.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_95.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_72.pdb.outCR,0.978,0.967,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_70.pdb.outCR,0.978,0.967,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_69.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_83.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_76.pdb.outCR,0.978,0.966,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_81.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_74.pdb.outCR,0.989,0.984,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_78.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_85.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_87.pdb.outCR,0.967,0.949,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_92.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_90.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_7.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_89.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_94.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_96.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_99.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_97.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_9.pdb.outCR,0.989,0.983,1.000,1.000,1.000,1.000,1.000,1.000
2N6X.pdb.outCR,2N6X_98.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
