target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2QH4.pdb.outCR,2QH4_2.pdb.outCR,0.752,0.791,0.577,1.000,0.333,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_37.pdb.outCR,0.694,0.754,0.577,0.000,0.333,1.000,0.000,0.000
2QH4.pdb.outCR,2QH4_100.pdb.outCR,0.934,0.938,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_13.pdb.outCR,0.836,0.869,0.707,1.000,0.500,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_17.pdb.outCR,0.860,0.935,0.707,0.000,0.500,1.000,0.000,0.000
2QH4.pdb.outCR,2QH4_11.pdb.outCR,0.836,0.832,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_31.pdb.outCR,0.752,0.791,0.577,1.000,0.333,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_35.pdb.outCR,0.885,0.968,0.707,0.000,0.500,1.000,0.000,0.000
2QH4.pdb.outCR,2QH4_15.pdb.outCR,0.979,0.970,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_26.pdb.outCR,0.910,0.904,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_19.pdb.outCR,0.885,0.829,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_20.pdb.outCR,0.978,0.968,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_33.pdb.outCR,0.861,0.869,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_22.pdb.outCR,0.692,0.750,0.577,0.000,0.333,1.000,0.000,0.000
2QH4.pdb.outCR,2QH4_28.pdb.outCR,0.910,0.938,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_24.pdb.outCR,0.886,0.938,0.707,1.000,0.500,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_30.pdb.outCR,0.909,0.901,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_10.pdb.outCR,0.910,0.938,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_14.pdb.outCR,0.865,0.910,0.707,1.000,0.500,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_38.pdb.outCR,0.626,0.750,0.000,0.000,0.000,0.000,0.000,0.000
2QH4.pdb.outCR,2QH4_32.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_16.pdb.outCR,0.956,0.968,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_23.pdb.outCR,0.913,0.943,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_12.pdb.outCR,0.839,0.832,0.833,1.000,0.833,0.833,1.000,1.000
2QH4.pdb.outCR,2QH4_27.pdb.outCR,0.865,0.938,0.816,0.000,0.667,1.000,0.000,0.000
2QH4.pdb.outCR,2QH4_36.pdb.outCR,0.809,0.832,0.707,1.000,0.500,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_1.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_18.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_25.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_21.pdb.outCR,0.909,0.935,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_34.pdb.outCR,0.978,1.000,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_29.pdb.outCR,0.978,0.968,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_53.pdb.outCR,0.933,0.935,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_55.pdb.outCR,0.629,0.667,0.577,0.000,0.333,1.000,0.000,0.000
2QH4.pdb.outCR,2QH4_46.pdb.outCR,0.885,0.866,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_40.pdb.outCR,0.782,0.869,0.408,1.000,0.167,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_42.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_60.pdb.outCR,0.933,0.935,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_48.pdb.outCR,0.836,0.869,0.707,1.000,0.500,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_4.pdb.outCR,0.754,0.754,0.707,1.000,0.500,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_44.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_51.pdb.outCR,0.809,0.794,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_57.pdb.outCR,0.886,0.904,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_59.pdb.outCR,0.836,0.832,0.816,1.000,0.667,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_39.pdb.outCR,0.979,0.970,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_62.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_66.pdb.outCR,0.836,0.794,0.913,1.000,0.833,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_64.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_54.pdb.outCR,0.724,0.712,0.707,1.000,0.500,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_43.pdb.outCR,0.934,0.904,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_56.pdb.outCR,0.933,0.901,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_41.pdb.outCR,0.979,0.970,1.000,1.000,1.000,1.000,1.000,1.000
2QH4.pdb.outCR,2QH4_5.pdb.outCR,0.956,0.935,1.000,1.000,1.000,1.000,1.000,1.000
