target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
2RVO.pdb.outCR,2RVO_100.pdb.outCR,0.865,0.864,0.877,0.000,0.769,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_20.pdb.outCR,0.960,0.939,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_28.pdb.outCR,0.921,0.904,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_13.pdb.outCR,0.933,0.921,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_31.pdb.outCR,0.907,0.921,0.920,0.000,0.846,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_35.pdb.outCR,0.945,0.936,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_24.pdb.outCR,0.861,0.857,0.877,0.000,0.769,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_17.pdb.outCR,0.919,0.898,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_10.pdb.outCR,0.907,0.857,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_21.pdb.outCR,0.877,0.833,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_32.pdb.outCR,0.987,0.980,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_29.pdb.outCR,0.948,0.921,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_36.pdb.outCR,0.843,0.875,0.784,0.000,0.615,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_25.pdb.outCR,0.960,0.939,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_14.pdb.outCR,0.946,0.917,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_18.pdb.outCR,0.987,0.980,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_2.pdb.outCR,0.919,0.917,0.923,0.000,0.923,0.923,0.000,0.000
2RVO.pdb.outCR,2RVO_22.pdb.outCR,0.785,0.809,0.784,0.000,0.615,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_37.pdb.outCR,0.904,0.921,0.877,0.000,0.769,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_33.pdb.outCR,0.904,0.898,0.920,0.000,0.846,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_11.pdb.outCR,0.907,0.881,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_15.pdb.outCR,0.960,0.939,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_19.pdb.outCR,0.874,0.875,0.877,0.000,0.769,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_26.pdb.outCR,0.948,0.921,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_30.pdb.outCR,0.932,0.939,0.920,0.000,0.846,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_23.pdb.outCR,0.849,0.857,0.877,0.000,0.769,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_34.pdb.outCR,0.921,0.881,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_38.pdb.outCR,0.946,0.939,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_16.pdb.outCR,0.950,0.926,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_12.pdb.outCR,0.895,0.864,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_27.pdb.outCR,0.853,0.801,0.961,0.000,0.923,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_1.pdb.outCR,0.959,0.936,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_46.pdb.outCR,0.880,0.864,0.920,0.000,0.846,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_4.pdb.outCR,0.887,0.939,0.784,0.000,0.615,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_39.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
2RVO.pdb.outCR,2RVO_42.pdb.outCR,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000
