id inf_all
1 0.988
2 0.928
3 0.965
4 0.976
5 0.976
6 0.953
7 0.977
8 0.953
9 0.929
10 0.94
11 0.965
12 0.953
13 0.952
14 0.964
15 0.976
16 0.953
17 0.965
18 0.976
19 0.965
20 0.988
21 0.965
22 0.952
23 0.916
24 0.94
25 0.988
26 0.988
27 0.94
28 0.976
29 0.976
30 0.977
31 0.94
32 0.964
33 0.94
34 0.988
35 0.965
36 0.953
37 0.928
38 0.953
39 0.964
40 0.976
41 0.988
42 0.988
43 0.94
44 0.988
45 0.953
46 0.94
47 0.953
48 0.977
49 1
50 0.976
51 0.976
52 0.952
53 0.965
54 0.94
55 0.928
56 0.965
57 0.929
58 0.952
59 0.916
60 0.928
61 0.965
62 1
63 0.953
64 0.988
65 0.976
66 0.94
67 0.988
68 0.964
69 0.965
70 0.953
71 0.953
72 0.965
73 0.952
74 0.976
75 1
76 0.928
77 0.976
78 0.976
79 0.953
80 0.929
81 1
82 0.988
83 0.988
84 0.928
85 0.965
86 0.988
87 0.928
88 0.988
89 0.965
90 0.988
91 0.988
92 0.928
93 0.965
94 0.976
95 0.964
96 0.976
97 0.976
98 0.988
99 1
100 0.953
