target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
5LWJ.pdb.outCR,5LWJ_20.pdb.outCR,0.976,0.983,0.943,1.000,1.000,0.889,1.000,1.000
5LWJ.pdb.outCR,5LWJ_24.pdb.outCR,0.962,0.964,0.935,1.000,0.875,1.000,1.000,1.000
5LWJ.pdb.outCR,5LWJ_17.pdb.outCR,0.975,0.964,1.000,1.000,1.000,1.000,1.000,1.000
5LWJ.pdb.outCR,5LWJ_35.pdb.outCR,0.937,0.946,0.875,1.000,0.875,0.875,1.000,1.000
5LWJ.pdb.outCR,5LWJ_31.pdb.outCR,0.976,0.983,0.943,1.000,1.000,0.889,1.000,1.000
5LWJ.pdb.outCR,5LWJ_28.pdb.outCR,0.950,0.964,0.943,0.866,1.000,0.889,0.750,1.000
5LWJ.pdb.outCR,5LWJ_13.pdb.outCR,0.937,0.909,1.000,1.000,1.000,1.000,1.000,1.000
5LWJ.pdb.outCR,5LWJ_100.pdb.outCR,0.950,0.964,1.000,0.750,1.000,1.000,0.750,0.750
5LWJ.pdb.outCR,5LWJ_21.pdb.outCR,0.950,0.948,1.000,0.866,1.000,1.000,0.750,1.000
5LWJ.pdb.outCR,5LWJ_36.pdb.outCR,0.962,0.964,1.000,0.866,1.000,1.000,0.750,1.000
5LWJ.pdb.outCR,5LWJ_14.pdb.outCR,0.952,0.932,1.000,1.000,1.000,1.000,1.000,1.000
5LWJ.pdb.outCR,5LWJ_18.pdb.outCR,0.976,0.983,0.943,1.000,1.000,0.889,1.000,1.000
5LWJ.pdb.outCR,5LWJ_32.pdb.outCR,0.964,0.983,0.943,0.894,1.000,0.889,1.000,0.800
5LWJ.pdb.outCR,5LWJ_25.pdb.outCR,0.952,0.948,0.943,1.000,1.000,0.889,1.000,1.000
5LWJ.pdb.outCR,5LWJ_10.pdb.outCR,0.963,0.983,0.943,0.866,1.000,0.889,0.750,1.000
5LWJ.pdb.outCR,5LWJ_29.pdb.outCR,0.976,0.983,0.943,1.000,1.000,0.889,1.000,1.000
5LWJ.pdb.outCR,5LWJ_33.pdb.outCR,0.938,0.983,0.875,0.750,0.875,0.875,0.750,0.750
5LWJ.pdb.outCR,5LWJ_15.pdb.outCR,0.976,0.983,0.943,1.000,1.000,0.889,1.000,1.000
5LWJ.pdb.outCR,5LWJ_37.pdb.outCR,0.927,0.912,1.000,0.894,1.000,1.000,1.000,0.800
5LWJ.pdb.outCR,5LWJ_22.pdb.outCR,0.882,0.927,0.722,0.866,0.625,0.833,0.750,1.000
5LWJ.pdb.outCR,5LWJ_19.pdb.outCR,0.962,0.982,0.935,0.866,0.875,1.000,0.750,1.000
5LWJ.pdb.outCR,5LWJ_26.pdb.outCR,0.976,0.983,0.943,1.000,1.000,0.889,1.000,1.000
5LWJ.pdb.outCR,5LWJ_11.pdb.outCR,0.938,0.983,0.875,0.750,0.875,0.875,0.750,0.750
5LWJ.pdb.outCR,5LWJ_2.pdb.outCR,0.841,0.889,0.791,0.577,0.625,1.000,0.500,0.667
5LWJ.pdb.outCR,5LWJ_34.pdb.outCR,0.975,0.964,1.000,1.000,1.000,1.000,1.000,1.000
5LWJ.pdb.outCR,5LWJ_16.pdb.outCR,0.940,0.948,0.943,0.894,1.000,0.889,1.000,0.800
5LWJ.pdb.outCR,5LWJ_38.pdb.outCR,0.949,0.964,0.935,0.866,0.875,1.000,0.750,1.000
