id inf_all
1 0.956
2 0.819
3 0.978
4 0.885
5 0.934
6 0.933
7 0.933
8 0.934
9 0.91
10 0.91
11 0.861
12 0.839
13 0.933
14 0.957
15 0.956
16 0.933
17 0.909
18 0.978
19 0.909
20 0.956
21 0.861
22 0.808
23 0.836
24 0.886
25 0.978
26 0.91
27 0.808
28 0.909
29 0.933
30 0.978
31 0.836
32 0.91
33 0.957
34 0.979
35 0.933
36 0.786
37 0.724
38 0.813
39 0.934
40 0.834
41 0.978
42 0.978
43 0.909
44 0.978
45 0.978
46 0.839
47 0.909
48 0.91
49 0.956
50 0.956
51 0.861
52 0.737
53 0.956
54 0.885
55 0.809
56 0.934
57 0.786
58 0.752
59 0.754
60 0.978
61 0.909
62 1
63 0.956
64 0.978
65 0.913
66 0.956
67 0.957
68 0.978
69 0.956
70 0.886
71 0.861
72 0.91
73 0.865
74 0.934
75 0.978
76 0.786
77 0.934
78 0.934
79 0.909
80 0.91
81 1
82 0.956
83 1
84 0.91
85 0.978
86 0.978
87 1
88 0.978
89 0.933
90 1
91 0.978
92 0.746
93 0.86
94 0.861
95 0.885
96 0.909
97 0.934
98 0.978
99 1
100 0.865
