target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
5V17.pdb.outCR,5V17_2.pdb.outCR,0.954,0.948,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_15.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_11.pdb.outCR,0.962,0.959,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_13.pdb.outCR,0.972,0.962,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_24.pdb.outCR,0.981,0.986,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_31.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_33.pdb.outCR,0.954,0.948,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_100.pdb.outCR,0.955,0.950,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_22.pdb.outCR,0.990,0.986,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_35.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_26.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_19.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_28.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_17.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_37.pdb.outCR,0.935,0.921,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_20.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_30.pdb.outCR,0.981,0.973,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_23.pdb.outCR,0.952,0.946,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_16.pdb.outCR,0.981,0.987,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_10.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_32.pdb.outCR,0.981,0.973,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_12.pdb.outCR,0.991,0.987,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_25.pdb.outCR,0.991,1.000,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_36.pdb.outCR,0.981,0.987,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_14.pdb.outCR,0.952,0.946,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_27.pdb.outCR,0.955,0.950,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_21.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_34.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_1.pdb.outCR,0.991,0.987,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_29.pdb.outCR,0.991,0.987,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_38.pdb.outCR,0.962,0.960,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_18.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_39.pdb.outCR,0.981,0.973,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_40.pdb.outCR,0.981,0.974,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_42.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_44.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_55.pdb.outCR,0.962,0.946,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_48.pdb.outCR,0.981,0.974,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_57.pdb.outCR,0.991,1.000,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_4.pdb.outCR,0.962,0.960,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_51.pdb.outCR,0.954,0.948,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_53.pdb.outCR,0.981,0.987,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_46.pdb.outCR,0.962,0.973,1.000,0.707,1.000,1.000,1.000,0.500
5V17.pdb.outCR,5V17_62.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_66.pdb.outCR,0.981,0.974,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_59.pdb.outCR,0.962,0.959,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_64.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_60.pdb.outCR,0.964,0.962,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_43.pdb.outCR,0.981,0.973,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_3.pdb.outCR,0.981,0.987,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_41.pdb.outCR,0.991,0.987,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_58.pdb.outCR,0.981,0.974,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_56.pdb.outCR,0.971,0.960,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_45.pdb.outCR,0.964,0.962,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_49.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_65.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_47.pdb.outCR,0.981,0.974,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_61.pdb.outCR,0.981,0.987,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_50.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_5.pdb.outCR,0.991,0.987,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_52.pdb.outCR,0.981,0.987,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_67.pdb.outCR,0.981,0.973,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_63.pdb.outCR,0.964,0.962,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_54.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_68.pdb.outCR,0.991,0.987,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_6.pdb.outCR,0.981,0.987,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_73.pdb.outCR,0.991,0.987,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_71.pdb.outCR,0.962,0.960,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_77.pdb.outCR,0.981,0.973,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_82.pdb.outCR,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_79.pdb.outCR,0.972,0.974,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_84.pdb.outCR,0.955,0.950,1.000,0.816,1.000,1.000,1.000,0.667
5V17.pdb.outCR,5V17_75.pdb.outCR,0.991,0.987,1.000,1.000,1.000,1.000,1.000,1.000
5V17.pdb.outCR,5V17_80.pdb.outCR,0.962,0.959,1.000,0.816,1.000,1.000,1.000,0.667
