rna recall0 recall1 f1_0 f1_1 acc
1XHP 0.90 0.81 0.90 0.80 0.87
1YSV 0.90 0.84 0.91 0.82 0.88
1Z2J 0.90 0.84 0.91 0.82 0.88
1ZC5 0.88 0.75 0.88 0.75 0.84
28SR 0.97 0.75 0.93 0.83 0.90
2FDT 0.90 0.84 0.91 0.82 0.88
2JWV 0.97 0.78 0.94 0.85 0.91
2K66 0.79 0.97 0.88 0.81 0.85
2KOC 0.80 0.94 0.87 0.81 0.85
2L1V 0.79 0.97 0.88 0.81 0.85
2L3E 0.85 0.84 0.89 0.78 0.85
2LBJ 0.96 0.91 0.96 0.91 0.94
2LBL 0.91 0.81 0.91 0.81 0.88
2LDL 0.91 0.91 0.93 0.87 0.91
2LDT 0.90 0.81 0.90 0.80 0.87
2LHP 0.97 0.85 0.95 0.89 0.93
2LI4 0.91 0.91 0.93 0.87 0.91
2LK3 0.90 0.81 0.90 0.80 0.87
2LP9 0.71 0.94 0.82 0.75 0.79
2LPA 0.88 0.91 0.91 0.85 0.89
2LPS 0.96 0.72 0.92 0.79 0.88
2LQZ 0.82 0.88 0.87 0.78 0.84
2LU0 0.97 0.50 0.88 0.64 0.82
2LUB 0.94 0.84 0.93 0.86 0.91
2LUN 0.96 0.88 0.95 0.89 0.93
2LV0 0.91 0.81 0.91 0.81 0.88
2M12 0.96 0.75 0.92 0.81 0.89
2M21 0.85 0.91 0.90 0.82 0.87
2M22 0.91 0.88 0.93 0.85 0.90
2M24 0.97 0.69 0.92 0.79 0.88
2M4W 0.87 0.88 0.90 0.81 0.87
2M5U 0.96 0.69 0.91 0.77 0.87
2M8K 0.96 0.78 0.93 0.83 0.90
2MEQ 0.94 0.94 0.96 0.91 0.94
2MHI 0.90 0.88 0.92 0.84 0.89
2MNC 0.73 0.94 0.83 0.76 0.80
2MXL 0.90 0.97 0.94 0.89 0.92
2N2O 0.97 0.81 0.94 0.87 0.92
2N2P 0.90 0.91 0.92 0.86 0.90
2N4L 0.87 0.84 0.89 0.79 0.86
2N6S 0.94 0.97 0.96 0.93 0.95
2N6T 0.96 0.59 0.89 0.70 0.84
2N6W 0.91 0.75 0.90 0.77 0.86
2N6X 0.90 0.72 0.88 0.74 0.84
2NCI 0.97 0.55 0.88 0.68 0.83
2QH2 0.97 0.66 0.91 0.76 0.87
2QH4 0.93 0.75 0.91 0.79 0.87
2RVO 0.91 0.88 0.93 0.85 0.90
2Y95 0.88 0.88 0.91 0.82 0.88
4A4S 0.88 0.81 0.90 0.79 0.86
4A4T 0.88 0.84 0.90 0.81 0.87
4A4U 0.96 0.81 0.94 0.85 0.91
5A17 1.00 0.56 0.91 0.72 0.86
5A18 1.00 0.72 0.94 0.84 0.91
5IEM 0.94 0.75 0.91 0.80 0.88
5KH8 0.99 0.78 0.94 0.86 0.92
5KMZ 0.85 0.97 0.91 0.85 0.89
5KQE 0.93 0.59 0.88 0.68 0.82
5LSN 0.85 0.76 0.86 0.74 0.82
5LWJ 0.93 0.88 0.93 0.86 0.91
5N5C 0.87 0.85 0.89 0.80 0.86
5UF3 0.97 0.62 0.90 0.74 0.86
5UZT 0.90 0.75 0.89 0.76 0.85
5V16 0.88 0.72 0.88 0.73 0.83
5V17 0.75 0.97 0.85 0.78 0.82
5WQ1 0.91 0.84 0.92 0.83 0.89
6EZ0 0.93 0.84 0.93 0.84 0.90
